car,price,body,mileage,engType,registration,year,Model,drive
BMW,47300,crossover,10,Diesel,yes,2016,X3,full
BMW,43719,crossover,0,Petrol,yes,2016,X3,full
BMW,43163,crossover,0,Diesel,yes,2016,X1,full
BMW,0,crossover,16,Other,yes,2016,X5 M,
BMW,0,crossover,4,Petrol,yes,2016,X5 M,full
BMW,0,crossover,6,Petrol,yes,2016,X5 M,full
BMW,0,crossover,0,Diesel,yes,2016,X5,full
BMW,0,crossover,0,Diesel,yes,2016,X5,full
BMW,0,crossover,0,Diesel,yes,2016,X5,full
BMW,0,crossover,5,Diesel,yes,2016,X6,full
BMW,0,crossover,1,Diesel,yes,2016,X6,full
BMW,0,crossover,8,Diesel,yes,2016,X5,full
BMW,0,crossover,0,Diesel,yes,2016,X5,full
Cadillac,145000,crossover,1,Petrol,yes,2016,Escalade,full
Chery,13415,crossover,1,Petrol,yes,2016,Tiggo,front
Chery,11111,crossover,1,Petrol,yes,2016,Tiggo,front
Ford,58915,crossover,0,Other,yes,2016,Edge,
Ford,36155,crossover,0,Diesel,yes,2016,Kuga,full
Ford,28561,crossover,0,Diesel,yes,2016,Kuga,full
Ford,23675,crossover,0,Diesel,yes,2016,Kuga,front
Ford,20378,crossover,0,Petrol,yes,2016,Kuga,front
Honda,41000,crossover,0,Diesel,yes,2016,CR-V,full
Honda,40900,crossover,0,Diesel,yes,2016,CR-V,full
Honda,40900,crossover,0,Diesel,yes,2016,CR-V,full
Honda,38000,crossover,0,Diesel,yes,2016,CR-V,full
Honda,27803,crossover,1,Petrol,yes,2016,CR-V,full
Honda,0,crossover,1,Diesel,yes,2016,CR-V,full
Hyundai,39900,crossover,0,Diesel,yes,2016,Santa FE,full
Hyundai,37400,crossover,0,Diesel,yes,2016,Santa FE,full
Hyundai,36500,crossover,0,Diesel,yes,2016,Tucson,full
Hyundai,35500,crossover,0,Diesel,yes,2016,Tucson,full
Hyundai,34500,crossover,0,Diesel,yes,2016,Tucson,full
Hyundai,33500,crossover,0,Petrol,yes,2016,Tucson,full
Hyundai,31500,crossover,1,Petrol,yes,2016,Tucson,full
Hyundai,30900,crossover,0,Petrol,yes,2016,Tucson,full
Hyundai,30900,crossover,0,Petrol,yes,2016,Tucson,full
Hyundai,28500,crossover,0,Petrol,yes,2016,Tucson,full
Hyundai,28400,crossover,1,Petrol,yes,2016,Tucson,full
Hyundai,27000,crossover,0,Petrol,yes,2016,Tucson,full
Hyundai,26000,crossover,0,Petrol,yes,2016,Tucson,front
Hyundai,24250,crossover,1,Petrol,yes,2016,Tucson,full
Hyundai,22800,crossover,0,Petrol,yes,2016,Tucson,front
Hyundai,21433,crossover,1,Petrol,yes,2016,Tucson,front
Hyundai,0,crossover,0,Diesel,yes,2016,Santa FE,full
Hyundai,0,crossover,0,Diesel,yes,2016,Santa FE,full
Hyundai,0,crossover,0,Diesel,yes,2016,Tucson,full
Infiniti,93147,crossover,1,Petrol,yes,2016,QX80,full
Infiniti,57757,crossover,1,Diesel,yes,2016,QX70,full
Jeep,63500,crossover,1,Petrol,yes,2016,Wrangler,full
Kia,42741,crossover,0,Diesel,yes,2016,Sorento,full
Kia,20633,crossover,0,Diesel,yes,2016,Sportage,front
Kia,20633,crossover,0,Diesel,yes,2016,Sportage,front
Land Rover,285000,crossover,0,Petrol,yes,2016,Range Rover,full
Land Rover,169900,crossover,0,Diesel,yes,2016,Range Rover,full
Land Rover,169900,crossover,0,Diesel,yes,2016,Range Rover,full
Land Rover,164999,crossover,1,Diesel,yes,2016,Range Rover,full
Land Rover,153000,crossover,15,Diesel,yes,2016,Range Rover,full
Land Rover,109999,crossover,0,Diesel,yes,2016,Range Rover Sport,full
Land Rover,95555,crossover,0,Diesel,yes,2016,Range Rover Sport,full
Land Rover,67999,crossover,0,Diesel,yes,2016,Discovery,full
Land Rover,57000,crossover,0,Diesel,yes,2016,Discovery Sport,full
Land Rover,0,crossover,1,Petrol,yes,2016,Range Rover,full
Land Rover,0,crossover,0,Diesel,yes,2016,Range Rover,full
Land Rover,0,crossover,1,Diesel,yes,2016,Range Rover,full
Land Rover,0,crossover,1,Diesel,yes,2016,Range Rover,full
Land Rover,0,crossover,0,Diesel,yes,2016,Range Rover Sport,full
Land Rover,0,crossover,0,Other,yes,2016,Range Rover Sport,full
Lexus,153999,crossover,0,Petrol,yes,2016,LX 570,full
Lexus,135555,crossover,0,Diesel,yes,2016,LX 450,full
Lexus,134999,crossover,0,Diesel,yes,2016,LX 450,full
Lexus,123000,crossover,1,Diesel,yes,2016,LX 450,full
Lexus,115500,crossover,2,Diesel,yes,2016,LX 570,full
Lexus,87200,crossover,1,Petrol,yes,2016,RX 350,full
Lexus,70000,crossover,13,Petrol,yes,2016,RX 200,full
Lexus,50500,crossover,9,Petrol,yes,2016,NX 200,full
Lexus,0,crossover,11,Petrol,yes,2016,LX 570,full
Lexus,0,crossover,22,Diesel,yes,2016,LX 450,full
Lexus,0,crossover,0,Diesel,yes,2016,LX 450,full
Lexus,0,crossover,0,Diesel,yes,2016,LX 450,full
Lexus,0,crossover,0,Diesel,yes,2016,LX 450,full
Lexus,0,crossover,1,Petrol,yes,2016,RX 200,full
Mazda,27450,crossover,0,Petrol,yes,2016,CX-5,front
Mercedes-Benz,222000,crossover,0,Petrol,yes,2016,S 63 AMG,full
Mercedes-Benz,199999,crossover,0,Petrol,yes,2016,GLS 63,full
Mercedes-Benz,199999,crossover,0,Petrol,yes,2016,GLS 63,full
Mercedes-Benz,199999,crossover,0,Petrol,yes,2016,GLS 63,full
Mercedes-Benz,199999,crossover,0,Petrol,yes,2016,GLS 63,full
Mercedes-Benz,195000,crossover,2,Petrol,yes,2016,GLS 63,full
Mercedes-Benz,177777,crossover,0,Petrol,yes,2016,G 63 AMG,full
Mercedes-Benz,177000,crossover,0,Petrol,yes,2016,GLS 63,full
Mercedes-Benz,154999,crossover,0,Petrol,yes,2016,GLS 500,full
Mercedes-Benz,138000,crossover,0,Diesel,yes,2016,G 350,full
Mercedes-Benz,129999,crossover,0,Petrol,yes,2016,GLS 500,full
Mercedes-Benz,129999,crossover,1,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,124999,crossover,0,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,124000,crossover,0,Petrol,yes,2016,GLS 400,full
Mercedes-Benz,124000,crossover,0,Petrol,yes,2016,GLS 400,full
Mercedes-Benz,114999,crossover,0,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,114999,crossover,0,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,111999,crossover,0,Diesel,yes,2016,GL 350,full
Mercedes-Benz,111999,crossover,0,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,110000,crossover,0,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,109999,crossover,1,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,109999,crossover,0,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,109999,crossover,0,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,109999,crossover,0,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,109000,crossover,0,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,107999,crossover,0,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,107999,crossover,0,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,107777,crossover,0,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,105999,crossover,0,Diesel,yes,2016,GLE-Class,full
Mercedes-Benz,105000,crossover,1,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,104999,crossover,1,Diesel,yes,2016,GLE-Class,full
Mercedes-Benz,103333,crossover,0,Diesel,yes,2016,GLE-Class,full
Mercedes-Benz,99999,crossover,0,Petrol,yes,2016,GLE-Class,full
Mercedes-Benz,99999,crossover,0,Diesel,yes,2016,GLE-Class,full
Mercedes-Benz,99000,crossover,0,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,93555,crossover,0,Other,yes,2016,GLS 350,
Mercedes-Benz,86000,crossover,3,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,74999,crossover,1,Diesel,yes,2016,GLE-Class,full
Mercedes-Benz,71999,crossover,0,Diesel,yes,2016,GLE-Class,full
Mercedes-Benz,71999,crossover,0,Diesel,yes,2016,GLE-Class,full
Mercedes-Benz,70999,crossover,0,Diesel,yes,2016,GLE-Class,full
Mercedes-Benz,69999,crossover,0,Diesel,yes,2016,GLE-Class,full
Mercedes-Benz,62999,crossover,0,Diesel,yes,2016,GLC-Class,full
Mercedes-Benz,58999,crossover,0,Diesel,yes,2016,GLC-Class,full
Mercedes-Benz,0,crossover,0,Petrol,yes,2016,GLS 500,full
Mercedes-Benz,0,crossover,0,Petrol,yes,2016,GLS 500,full
Mercedes-Benz,0,crossover,0,Petrol,yes,2016,GLS 500,full
Mercedes-Benz,0,crossover,1,Diesel,yes,2016,GL 350,full
Mercedes-Benz,0,crossover,0,Diesel,yes,2016,GL 350,full
Mercedes-Benz,0,crossover,0,Diesel,yes,2016,GLE-Class,full
Mercedes-Benz,0,crossover,0,Diesel,yes,2016,GLE-Class,full
Mercedes-Benz,0,crossover,0,Petrol,yes,2016,GLE-Class,full
Mercedes-Benz,0,crossover,0,Diesel,yes,2016,GLE-Class,full
Mercedes-Benz,0,crossover,0,Diesel,yes,2016,GLE-Class,full
Mercedes-Benz,0,crossover,1,Petrol,yes,2016,GLE-Class,full
Mercedes-Benz,0,crossover,0,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,0,crossover,1,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,0,crossover,1,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,0,crossover,0,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,0,crossover,0,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,0,crossover,1,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,0,crossover,0,Petrol,yes,2016,GLS 400,full
Mercedes-Benz,0,crossover,0,Diesel,yes,2016,GLC-Class,full
Mitsubishi,46000,crossover,0,Diesel,yes,2016,Pajero Sport,full
Mitsubishi,40990,crossover,0,Diesel,yes,2016,Pajero Sport,full
Mitsubishi,40800,crossover,0,Diesel,yes,2016,Pajero Sport,full
Mitsubishi,36000,crossover,0,Petrol,yes,2016,Outlander,full
Mitsubishi,28500,crossover,0,Petrol,yes,2016,Outlander,full
Mitsubishi,27565,crossover,1,Diesel,yes,2016,Pajero Sport,full
Mitsubishi,25000,crossover,0,Petrol,yes,2016,Outlander,front
Mitsubishi,22712,crossover,1,Petrol,yes,2016,Outlander,full
Nissan,29078,crossover,0,Diesel,yes,2016,X-Trail,front
Nissan,27694,crossover,1,Diesel,yes,2016,X-Trail,front
Nissan,26033,crossover,0,Diesel,yes,2016,X-Trail,full
Nissan,25983,crossover,0,Diesel,yes,2016,Qashqai,front
Nissan,25382,crossover,0,Diesel,yes,2016,Qashqai,full
Nissan,25198,crossover,0,Petrol,yes,2016,Qashqai,front
Nissan,20447,crossover,0,Petrol,yes,2016,Qashqai,front
Nissan,19451,crossover,0,Petrol,yes,2016,Juke,front
Nissan,15656,crossover,0,Petrol,yes,2016,Juke,front
Peugeot,19081,crossover,0,Petrol,yes,2016,2008,front
Porsche,99999,crossover,1,Diesel,yes,2016,Cayenne,full
Porsche,99999,crossover,1,Diesel,yes,2016,Cayenne,full
Porsche,87900,crossover,1,Diesel,yes,2016,Cayenne,full
Porsche,0,crossover,0,Diesel,yes,2016,Cayenne,full
Renault,20996,crossover,0,Diesel,yes,2016,Captur,front
Renault,19692,crossover,0,Diesel,yes,2016,Duster,full
Renault,18988,crossover,0,Diesel,yes,2016,Duster,full
Renault,18456,crossover,1,Diesel,yes,2016,Duster,full
Renault,17639,crossover,0,Petrol,yes,2016,Captur,front
Renault,17500,crossover,20,Diesel,yes,2016,Duster,full
Renault,13321,crossover,0,Diesel,yes,2016,Sandero StepWay,front
Skoda,25013,crossover,1,Petrol,yes,2016,Yeti,full
Subaru,44500,crossover,0,Diesel,yes,2016,Outback,full
Subaru,38900,crossover,0,Diesel,yes,2016,Forester,full
Subaru,38900,crossover,0,Diesel,yes,2016,Forester,full
Subaru,38900,crossover,1,Diesel,yes,2016,Forester,full
Subaru,38800,crossover,0,Diesel,yes,2016,Forester,full
Subaru,38000,crossover,0,Petrol,yes,2016,Forester,full
Subaru,37900,crossover,0,Diesel,yes,2016,Forester,full
Subaru,37500,crossover,0,Diesel,yes,2016,Forester,full
Subaru,32300,crossover,0,Petrol,yes,2016,Forester,full
Subaru,0,crossover,1,Diesel,yes,2016,Forester,full
Suzuki,24824,crossover,0,Petrol,yes,2016,Grand Vitara,full
Suzuki,23342,crossover,0,Petrol,yes,2016,Vitara,full
Suzuki,22230,crossover,0,Petrol,yes,2016,Grand Vitara,full
Suzuki,19525,crossover,0,Petrol,yes,2016,Vitara,front
Suzuki,19414,crossover,0,Petrol,yes,2016,Vitara,full
Suzuki,16487,crossover,0,Petrol,yes,2016,Vitara,front
Suzuki,16302,crossover,0,Petrol,yes,2016,SX4,
Tesla,185000,crossover,1,Other,yes,2016,Model X,full
Tesla,178500,crossover,0,Other,yes,2016,Model X,full
Tesla,176900,crossover,0,Other,yes,2016,Model X,full
Toyota,195000,crossover,0,Diesel,yes,2016,Land Cruiser 200,full
Toyota,195000,crossover,0,Diesel,yes,2016,Land Cruiser 200,full
Toyota,103999,crossover,0,Diesel,yes,2016,Land Cruiser 200,full
Toyota,103999,crossover,0,Diesel,yes,2016,Land Cruiser 200,full
Toyota,102999,crossover,0,Diesel,yes,2016,Land Cruiser 200,full
Toyota,100000,crossover,0,Diesel,yes,2016,Land Cruiser 200,full
Toyota,99999,crossover,0,Petrol,yes,2016,Land Cruiser 200,full
Toyota,99999,crossover,0,Diesel,yes,2016,Land Cruiser 200,full
Toyota,99999,crossover,0,Diesel,yes,2016,Land Cruiser 200,full
Toyota,97500,crossover,2,Petrol,yes,2016,Land Cruiser 200,full
Toyota,88000,crossover,3,Diesel,yes,2016,Land Cruiser 200,full
Toyota,85000,crossover,1,Diesel,yes,2016,Land Cruiser 200,full
Toyota,74999,crossover,1,Diesel,yes,2016,Land Cruiser 200,full
Toyota,73900,crossover,1,Diesel,yes,2016,Land Cruiser 200,full
Toyota,35138,crossover,0,Petrol,yes,2016,Rav 4,full
Toyota,20859,crossover,1,Petrol,yes,2016,Rav 4,front
Toyota,0,crossover,0,Diesel,yes,2016,Land Cruiser 200,full
Toyota,0,crossover,1,Diesel,yes,2016,Land Cruiser 200,full
Toyota,0,crossover,0,Diesel,yes,2016,Land Cruiser 200,full
Toyota,0,crossover,0,Diesel,yes,2016,Land Cruiser 200,full
Toyota,0,crossover,0,Diesel,yes,2016,Land Cruiser 200,full
Toyota,0,crossover,0,Diesel,yes,2016,Land Cruiser 200,full
Toyota,0,crossover,1,Diesel,yes,2016,Land Cruiser 200,full
Toyota,0,crossover,1,Diesel,yes,2016,Rav 4,full
UAZ,5500,crossover,1,Petrol,yes,2016,469,full
VAZ,10740,crossover,0,Petrol,yes,2016,2121,full
Volkswagen,72000,crossover,0,Diesel,yes,2016,Touareg,full
Volkswagen,71138,crossover,0,Diesel,yes,2016,Touareg,full
Volkswagen,67623,crossover,0,Diesel,yes,2016,Touareg,full
Volkswagen,66346,crossover,0,Diesel,yes,2016,Touareg,full
Volkswagen,61000,crossover,2,Diesel,yes,2016,Touareg,full
Volkswagen,55500,crossover,47,Diesel,yes,2016,Touareg,full
Volkswagen,28900,crossover,1,Petrol,yes,2016,Tiguan,full
Volvo,66795,crossover,0,Diesel,yes,2016,XC90,full
Volvo,40300,crossover,2,Diesel,yes,2016,XC60,
Volvo,38900,crossover,0,Diesel,yes,2016,XC60,front
Audi,44000,hatch,1,Petrol,yes,2016,A5,
BMW,52222,hatch,3,Diesel,yes,2016,4 Series Gran Coupe,full
Citroen,24050,hatch,0,Diesel,yes,2016,C4,front
Ford,16561,hatch,0,Petrol,yes,2016,Focus,front
Ford,15195,hatch,0,Petrol,yes,2016,Fiesta,front
Ford,10745,hatch,0,Petrol,yes,2016,Fiesta,front
Hyundai,18300,hatch,0,Petrol,yes,2016,i30,front
Hyundai,18300,hatch,0,Petrol,yes,2016,i20,front
Hyundai,12800,hatch,0,Petrol,yes,2016,Solaris,front
Kia,13460,hatch,1,Petrol,yes,2016,Ceed,front
Mazda,16265,hatch,0,Petrol,yes,2016,2,full
Mercedes-Benz,42900,hatch,3,Other,yes,2016,B-Class Electric Drive,front
MINI,32444,hatch,1,Petrol,yes,2016,Cooper,rear
MINI,30381,hatch,0,Petrol,yes,2016,Cooper,front
Nissan,19458,hatch,0,Petrol,yes,2016,Juke,front
Peugeot,17895,hatch,0,Diesel,yes,2016,308,front
Peugeot,13700,hatch,2,Petrol,yes,2016,208,front
Peugeot,12782,hatch,0,Petrol,yes,2016,208,front
Renault,18933,hatch,0,Diesel,yes,2016,Megane,front
Skoda,18520,hatch,0,Petrol,yes,2016,Spaceback,front
Skoda,14828,hatch,1,Petrol,yes,2016,Spaceback,front
Smart,21091,hatch,0,Petrol,yes,2016,Forfour,rear
Suzuki,15487,hatch,0,Petrol,yes,2016,Swift,front
Toyota,17394,hatch,0,Petrol,yes,2016,Yaris,front
Toyota,16673,hatch,1,Petrol,yes,2016,Auris,front
Toyota,11708,hatch,1,Petrol,yes,2016,Yaris,front
Toyota,10500,hatch,17,Petrol,yes,2016,Yaris,front
BMW,99999,other,0,Petrol,yes,2016,640,full
Chevrolet,65000,other,0,Petrol,yes,2016,Camaro,rear
Chevrolet,59999,other,1,Petrol,yes,2016,Camaro,rear
Chevrolet,58500,other,1,Petrol,yes,2016,Camaro,rear
Chevrolet,56800,other,1,Petrol,yes,2016,Camaro,rear
Chevrolet,56000,other,1,Petrol,yes,2016,Camaro,rear
Chevrolet,44000,other,1,Petrol,yes,2016,Camaro,rear
Citroen,18155,other,0,Diesel,yes,2016,Berlingo ????.,front
Dodge,81000,other,1,Diesel,yes,2016,RAM,full
Ford,68900,other,1,Petrol,yes,2016,Mustang GT,rear
Ford,56900,other,1,Petrol,yes,2016,Mustang,rear
Ford,56700,other,0,Petrol,yes,2016,Mustang,rear
Ford,53900,other,1,Petrol,yes,2016,Mustang,rear
Ford,40600,other,0,Diesel,yes,2016,Ranger,full
Kia,22000,other,5,Petrol,yes,2016,Koup,full
Land Rover,79450,other,0,Diesel,yes,2016,Range Rover Sport,
Mercedes-Benz,250000,other,6,Petrol,yes,2016,S 63 AMG,full
Mercedes-Benz,249999,other,3,Petrol,yes,2016,S 63 AMG,full
Mercedes-Benz,189999,other,0,Petrol,yes,2016,S 500,full
Mercedes-Benz,187555,other,0,Petrol,yes,2016,S 500,full
Mercedes-Benz,185555,other,0,Petrol,yes,2016,S 500,full
Mercedes-Benz,173333,other,0,Petrol,yes,2016,S 400,full
Mercedes-Benz,159999,other,0,Petrol,yes,2016,S 400,full
Mercedes-Benz,65000,other,0,Petrol,yes,2016,C-Class,rear
Mercedes-Benz,57000,other,0,Petrol,yes,2016,C-Class,rear
Mercedes-Benz,0,other,0,Petrol,yes,2016,S 500,full
Mercedes-Benz,0,other,0,Other,yes,2016,S 400,full
Mitsubishi,33000,other,0,Diesel,yes,2016,L 200,full
Mitsubishi,25342,other,1,Diesel,yes,2016,L 200,full
Nissan,115916,other,1,Petrol,yes,2016,GT-R,full
Skoda,33115,other,0,Diesel,yes,2016,Superb,front
Skoda,29640,other,0,Petrol,yes,2016,Superb,front
Skoda,24293,other,0,Diesel,yes,2016,Octavia A7,front
Skoda,20933,other,0,Petrol,yes,2016,Octavia A7,front
Toyota,46500,other,4,Diesel,yes,2016,Hilux,full
Toyota,43999,other,1,Diesel,yes,2016,Hilux,full
Toyota,43999,other,0,Diesel,yes,2016,Hilux,full
Toyota,39500,other,1,Diesel,yes,2016,Hilux,full
Toyota,38233,other,0,Diesel,yes,2016,Hilux,full
Audi,81500,sedan,0,Petrol,yes,2016,A7,full
Audi,63200,sedan,0,Petrol,yes,2016,A6,full
Audi,34419,sedan,0,Petrol,yes,2016,Q3,
Audi,30999,sedan,2,Petrol,yes,2016,A3,front
Audi,29603,sedan,1,Petrol,yes,2016,A4,front
Bentley,547800,sedan,0,Petrol,yes,2016,Mulsanne,rear
BMW,129222,sedan,2,Petrol,yes,2016,750,full
BMW,47500,sedan,0,Diesel,yes,2016,320,full
BMW,46000,sedan,5,Petrol,yes,2016,520,rear
BMW,45000,sedan,29,Diesel,yes,2016,520,rear
BMW,42900,sedan,2,Petrol,yes,2016,520,rear
BMW,42900,sedan,2,Petrol,yes,2016,520,rear
BMW,42000,sedan,5,Petrol,yes,2016,520,rear
BMW,40755,sedan,0,Petrol,yes,2016,520,rear
BMW,39900,sedan,5,Petrol,yes,2016,520,rear
BMW,39333,sedan,6,Petrol,yes,2016,520,
BMW,37976,sedan,0,Petrol,yes,2016,520,rear
Chevrolet,11281,sedan,1,Petrol,yes,2016,Aveo,front
Fiat,13820,sedan,0,Petrol,yes,2016,Tipo,front
Honda,22000,sedan,0,Petrol,yes,2016,Civic,front
Honda,21800,sedan,0,Petrol,yes,2016,Civic,front
Honda,18500,sedan,1,Other,yes,2016,City,
Honda,18500,sedan,1,Petrol,yes,2016,Civic,front
Hyundai,33500,sedan,0,Petrol,yes,2016,Sonata,front
Hyundai,29400,sedan,0,Petrol,yes,2016,Sonata,front
Hyundai,20200,sedan,0,Other,yes,2016,Elantra,front
Hyundai,19900,sedan,15,Petrol,yes,2016,Elantra,front
Hyundai,15246,sedan,1,Petrol,yes,2016,Elantra,front
Jaguar,39900,sedan,24,Petrol,yes,2016,XE,rear
Mazda,32000,sedan,0,Petrol,yes,2016,6,front
Mazda,25800,sedan,9,Petrol,yes,2016,6,front
Mazda,25000,sedan,0,Other,yes,2016,6,front
Mazda,22563,sedan,0,Petrol,yes,2016,6,front
Mazda,15524,sedan,0,Petrol,yes,2016,3,front
Mercedes-Benz,99000,sedan,0,Petrol,yes,2016,CLS 400,full
Mercedes-Benz,81500,sedan,1,Diesel,yes,2016,GLE-Class,full
Mercedes-Benz,47000,sedan,0,Petrol,yes,2016,C-Class,rear
Mercedes-Benz,0,sedan,0,Petrol,yes,2016,S 400,full
Mercedes-Benz,0,sedan,0,Diesel,yes,2016,V 250,full
Nissan,17800,sedan,2,Petrol,yes,2016,Sentra,front
Opel,20120,sedan,0,Diesel,yes,2016,Astra J,front
Peugeot,11597,sedan,0,Petrol,yes,2016,301,front
Renault,15820,sedan,0,Diesel,yes,2016,Fluence,front
Renault,11404,sedan,0,Petrol,yes,2016,Logan,front
Renault,9658,sedan,1,Petrol,yes,2016,Logan,front
Skoda,38680,sedan,0,Petrol,yes,2016,Superb,front
Skoda,33900,sedan,6,Petrol,yes,2016,Superb,front
Skoda,24999,sedan,44,Diesel,yes,2016,Octavia A7,front
Skoda,23000,sedan,0,Petrol,yes,2016,Octavia A7,front
Skoda,22000,sedan,0,Petrol,yes,2016,Octavia A7,front
Skoda,21924,sedan,0,Petrol,yes,2016,Octavia A7,front
Skoda,21300,sedan,2,Petrol,yes,2016,Octavia A7,front
Skoda,20500,sedan,0,Petrol,yes,2016,Octavia A7,front
Skoda,19740,sedan,0,Petrol,yes,2016,Octavia A7,front
Skoda,18255,sedan,0,Petrol,yes,2016,Rapid,front
Skoda,15520,sedan,0,Petrol,yes,2016,Rapid,front
Tesla,162900,sedan,0,Other,yes,2016,Model S,full
Tesla,159600,sedan,0,Other,yes,2016,Model S,full
Tesla,159600,sedan,7,Other,yes,2016,Model S,rear
Tesla,89000,sedan,1,Other,yes,2016,Model S,rear
Tesla,85500,sedan,1,Other,yes,2016,Model S,full
Toyota,28788,sedan,0,Petrol,yes,2016,Camry,front
Toyota,25750,sedan,0,Petrol,yes,2016,Camry,front
Toyota,24842,sedan,0,Petrol,yes,2016,Avensis,front
Toyota,24171,sedan,1,Petrol,yes,2016,Camry,front
VAZ,70357,sedan,0,Petrol,yes,2016,2190 ??????,front
VAZ,2100,sedan,85,Other,yes,2016,2103,
Volkswagen,39615,sedan,0,Diesel,yes,2016,Passat B8,front
Volkswagen,38365,sedan,0,Diesel,yes,2016,Passat B8,front
Volkswagen,29600,sedan,11,Petrol,yes,2016,Passat B8,front
Volkswagen,24900,sedan,1,Diesel,yes,2016,Jetta,front
Volkswagen,24900,sedan,1,Diesel,yes,2016,Jetta,front
Volkswagen,24800,sedan,2,Diesel,yes,2016,Jetta,front
Volkswagen,24300,sedan,1,Diesel,yes,2016,Jetta,front
Volkswagen,24000,sedan,3,Diesel,yes,2016,Jetta,front
Volkswagen,23999,sedan,0,Diesel,yes,2016,Jetta,front
Volkswagen,23999,sedan,0,Diesel,yes,2016,Jetta,front
Volkswagen,23999,sedan,1,Diesel,yes,2016,Jetta,front
Volkswagen,21500,sedan,2,Diesel,yes,2016,Jetta,front
Volkswagen,19100,sedan,4,Other,yes,2016,Jetta,front
Volkswagen,17191,sedan,0,Petrol,yes,2016,Jetta,front
Volkswagen,16999,sedan,0,Petrol,yes,2016,Jetta,front
Volkswagen,14500,sedan,1,Other,yes,2016,Polo,front
Volkswagen,13972,sedan,0,Petrol,yes,2016,Polo,front
Volkswagen,13894,sedan,0,Petrol,yes,2016,Polo,front
Volkswagen,13301,sedan,0,Petrol,yes,2016,Polo,front
